01MAS202412152025121350
5024001659  4AGT4150000087000100R415000MA1000001100001011000100100011000001100000110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174003TR174698ES2187FEC06                   415001   
75    26V6UM  1174003TR 15174698ES1517919                     
52174003TR  1      41500000            00010002   87D      75000  1      500         FRE   0   
52174003AR  241500041500000      000200      2087D   75000       1 500         FREFREV2    0   
52174003AT  341500041500000      000500      2087D   75000       1 500         V2    V2    0   
52174003PK  441500041500000      000900      2087D   75000       1 500         V2    V2    0   
5217411000  541500041500000      001300      2087D   75000       1 500         V2    V2    0   
52174102BF  641500041500000      001700      2087D   75000       1 500         V2    VU    0   
52174102EP  741500041500000      002200      2087D   75000       1 500         VU    VU    0   
5217460700  841500041500000      002800      2087D   75000       1 500         VU    VU    0   
5217462300  941500041500000      004300      2087D   75000       1 500         VU    VU    0   
52174649BV 1041500041500000      005400      2087D   75000       1 500         VU    VU    0   
5217465600 1141500041500000      010100      2087D   75000       1 500         VU    VU    0   
52174664BV 1241500041500000011100      0112002287D87D75000 75000 11500   500   VU    VU    0   
52174664PN 1341500041500000011200      0113002287D87D75000 75000 11500   500   VU    VU    0   
52174698EP 1441500041500000      012300      2087D   75000       1 500         VU    VU    0   
52174698ES 15415000      00012700            2087D   75000       1 500         VU          0   
5024001659  5R4S4150000087000100R415000MA1000000000000000000000000000000000000000000000000000001110000110100011010001101000110100011010001101000110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110100011010001101000110100011010001101000000100011010001101000110100011010000000000000000000000000000000000000174003TR174698ES2187FEC06                   415001   
75    26V6UM  1174003TR 15174698ES1517919                     
52174003TR  1      41500000            00010002   87D      75000  1      500         FRE   0   
52174003AR  241500041500000      000200      2087D   75000       1 500         FREFREV2    0   
52174003AT  341500041500000      000500      2087D   75000       1 500         V2    V2    0   
52174003PK  441500041500000      000900      2087D   75000       1 500         V2    V2    0   
5217411000  541500041500000      001300      2087D   75000       1 500         V2    V2    0   
52174102BF  641500041500000      001700      2087D   75000       1 500         V2    VU    0   
52174102EP  741500041500000      002200      2087D   75000       1 500         VU    VU    0   
5217460700  841500041500000      002800      2087D   75000       1 500         VU    VU    0   
5217462300  941500041500000      004300      2087D   75000       1 500         VU    VU    0   
52174649BV 1041500041500000      005400      2087D   75000       1 500         VU    VU    0   
5217465600 1141500041500000      010100      2087D   75000       1 500         VU    VU    0   
52174664BV 1241500041500000011100      0112002287D87D75000 75000 11500   500   VU    VU    0   
52174664PN 1341500041500000011200      0113002287D87D75000 75000 11500   500   VU    VU    0   
52174698EP 1441500041500000      012300      2087D   75000       1 500         VU    VU    0   
52174698ES 15415000      00012700            2087D   75000       1 500         VU          0   
5024001659  6R4S4150000087000100R415000MA1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010001101000110100001010001100000110000000000000000000110000011010000101000110100011010001101000110100001010001101000110100011010001100000110100011010001101000110100011010001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174003TR174698ES2187FEC06                   415001   
75    26V6UM  1174003TR 15174698ES1517919                     
52174003TR  1      41500000            00010002   87D      75000  1      500         FRE   0   
52174003AR  241500041500000      000200      2087D   75000       1 500         FREFREV2    0   
52174003AT  341500041500000      000500      2087D   75000       1 500         V2    V2    0   
52174003PK  441500041500000      000900      2087D   75000       1 500         V2    V2    0   
5217411000  541500041500000      001300      2087D   75000       1 500         V2    V2    0   
52174102BF  641500041500000      001700      2087D   75000       1 500         V2    VU    0   
52174102EP  741500041500000      002200      2087D   75000       1 500         VU    VU    0   
5217460700  841500041500000      003100      2087D   75000       1 500         VU    VU    0   
5217462300  941500041500000      005000      2087D   75000       1 500         VU    VU    0   
52174649BV 1041500041500000      010600      2087D   75000       1 500         VU    VU    0   
5217465600 1141500041500000      011400      2087D   75000       1 500         VU    VU    0   
52174664BV 1241500041500000012700      0128002287D87D75000 75000 11500   500   VU    VU    0   
52174664PN 1341500041500000012800      0129002287D87D75000 75000 11500   500   VU    VU    0   
52174698EP 1441500041500000      014100      2087D   75000       1 500         VU    VU    0   
52174698ES 15415000      00014700            2087D   75000       1 500         VU          0   
