Structure 50 : 22 champs

numTribu                  | start=  2 | length=  8 | label: Numéro interne de la tribu
marqueurInc               | start= 10 | length=  3 | label: Marqueur incrémental
marqueurType              | start= 13 | length=  3 | label: Marqueur type
marcheDepart              | start= 16 | length=  6 | label: Numéro marche départ
rgun                      | start= 22 | length=  4 | label: Code RGUN
heureOrigine              | start= 26 | length=  6 | label: Heure théorique départ
nature                    | start= 32 | length=  1 | label: Nature
marcheComp                | start= 33 | length=  6 | label: Numéro marche complémentaire
indiceCompo               | start= 39 | length=  5 | label: Mnémo indice composition
regimeBinaireCirculation  | start= 44 | length=400 | label: Régime compressé de circulation
codeCIOrigine             | start=444 | length=  6 | label: Code CI origine
codeCHOrigine             | start=450 | length=  2 | label: Code CH origine
codeCITerminus            | start=452 | length=  6 | label: Code CI terminus
codeCHTerminus            | start=458 | length=  2 | label: Code CH terminus
UIOrigine                 | start=460 | length=  4 | label: Code UI origine
TCTOrigine                | start=464 | length=  3 | label: Code TCT origine
codeFamille               | start=467 | length=  2 | label: Code Famille
codeMission               | start=469 | length=  4 | label: Code mission
typeLigne                 | start=473 | length=  2 | label: Type de ligne
indexation                | start=475 | length=  4 | label: Indexation
hlpdu                     | start=479 | length=  9 | label: HlpDu
hlppour                   | start=488 | length=  9 | label: HlpPour
